Titulo,Link
Barcelona v Atlético Madrid: La Liga – live!,https://www.theguardian.com/football/live/2019/apr/06/barcelona-v-atletico-madrid-la-liga-live
"Derby, Wigan and Northampton all report alleged racist abuse of players",https://www.theguardian.com/football/2019/apr/06/derby-wigan-northampton-alleged-racist-abuse
Kent in control at Taunton with help from Mitchell Claydon,https://www.theguardian.com/sport/2019/apr/06/kent-mitchell-claydon-taunton
